T,FK-3kW,FX-400,FX-1000
730,0.2895,0.1875,0.3
731,0.208,0.175,0.2717395
732,0.208,0.175,0.2717395
733,0.2895,0.1875,0.3
734,0.2895,0.2015625,0.3565215
735,0.3715,0.228125,0.4173915
736,0.4705,0.2414065,0.4978265
737,0.4705,0.25625,0.530435
738,0.4705,0.25625,0.5673915
739,0.4705,0.25625,0.5673915
740,0.4705,0.270312,0.5673915
741,0.6275,0.282812,0.626087
742,0.6275,0.2960935,0.6608695
743,0.6275,0.3125,0.6934785
744,0.6275,0.3125,0.6934785
745,0.6275,0.282812,0.6608695
746,0.4705,0.270312,0.5673915
747,0.4705,0.2414065,0.4978265
748,0.3715,0.228125,0.4478265
749,0.3715,0.228125,0.4173915
750,0.3715,0.215625,0.3847825
751,0.2895,0.215625,0.3847825
752,0.2895,0.2015625,0.3565215
753,0.2895,0.2015625,0.3282605
754,0.208,0.175,0.2717395
755,0.208,0.163281,0.2456525
756,0.208,0.150781,0.204348
757,0.1435,0.1359375,0.1891305
758,0.1435,0.121875,0.1695655
759,0.1435,0.1359375,0.1891305
760,0.208,0.150781,0.204348
761,0.208,0.175,0.2456525
762,0.2895,0.1875,0.3
763,0.2895,0.2015625,0.3282605
764,0.2895,0.2015625,0.3282605
765,0.2895,0.2015625,0.3565215
766,0.2895,0.2015625,0.3565215
767,0.3715,0.215625,0.3847825
768,0.3715,0.228125,0.4478265
769,0.3715,0.2414065,0.4739135
770,0.4705,0.25625,0.530435
771,0.4705,0.25625,0.5673915
772,0.4705,0.25625,0.5673915
773,0.4705,0.25625,0.5673915
774,0.4705,0.25625,0.530435
775,0.4705,0.2414065,0.4978265
776,0.4705,0.2414065,0.4978265
777,0.4705,0.2414065,0.4978265
778,0.4705,0.2414065,0.4978265
779,0.3715,0.228125,0.4478265
780,0.3715,0.228125,0.4173915
781,0.2895,0.2015625,0.3565215
782,0.2895,0.1875,0.3
783,0.208,0.175,0.2717395
784,0.208,0.163281,0.2456525
785,0.208,0.163281,0.2456525
786,0.208,0.175,0.2456525
787,0.208,0.175,0.2717395
788,0.2895,0.1875,0.3
789,0.2895,0.1875,0.3
790,0.2895,0.2015625,0.3282605
791,0.2895,0.2015625,0.3565215
792,0.2895,0.215625,0.3847825
793,0.3715,0.228125,0.4173915
794,0.4705,0.2414065,0.4978265
795,0.4705,0.270312,0.5673915
796,0.6275,0.2960935,0.6608695
