T,Sunergy-370W,Luxen-450W
975,0.323299994,0.39744478
976,0.269238018,0.3303523
977,0.219697078,0.269121321
978,0.110266891,0.134613647
979,0,0
980,0,0
981,0,0
982,0,0
983,0,0
984,0,0
985,0,0
986,0,0
987,0,0
988,0,0
989,0,0
990,0,0
991,0,0
992,0.008739677,0.010638988
993,0.085476868,0.104264579
994,0.178304524,0.21808261
995,0.240656076,0.294951726
996,0.302306582,0.371370735
997,0.287761273,0.353353572
998,0.332405602,0.408927811
999,0.318106362,0.391144746
1000,0.256910882,0.315178472
1001,0.208189577,0.254977672
1002,0.115902913,0.141525354
1003,0,0
1004,0,0
1005,0,0
1006,0,0
1007,0,0
1008,0,0
1009,0,0
1010,0,0
1011,0,0
1012,0,0
1013,0,0
1014,0,0
1015,0,0
1016,0.006271199,0.007633939
1017,0.059347327,0.072352002
1018,0.162600648,0.198840398
1019,0.24361682,0.298732404
1020,0.295292538,0.362800898
1021,0.323621223,0.398122778
1022,0.33485038,0.412223112
1023,0.315701764,0.38839223
1024,0.274435839,0.337099113
1025,0.203794649,0.24966877
1026,0.098542377,0.120294637
1027,0,0
1028,0,0
1029,0,0
1030,0,0
1031,0,0
1032,0,0
1033,0,0
1034,0,0
1035,0,0
1036,0,0
1037,0,0
1038,0,0
1039,0,0
1040,0.008629542,0.01050426
1041,0.087275609,0.106479998
1042,0.173812312,0.21267047
1043,0.244903517,0.300432044
1044,0.295667866,0.363495215
1045,0.324003716,0.39886896
1046,0.329582622,0.405900021
1047,0.27549463,0.33849783
1048,0.269633358,0.331215694
1049,0.181728178,0.222476307
1050,0.09382191,0.114515865
1051,0,0
1052,0,0
1053,0,0
1054,0,0
1055,0,0
1056,0,0
1057,0,0
1058,0,0
1059,0,0
1060,0,0
1061,0,0
1062,0,0
1063,0,0
1064,0.009038285,0.011003022
1065,0.082311812,0.100444067
1066,0.133839245,0.163626376
1067,0.220711796,0.270799432
1068,0.289681993,0.356639159
1069,0.325903349,0.402053951
1070,0.331416159,0.408913621
1071,0.314829717,0.387982578
1072,0.27548461,0.338793206
1073,0.213708718,0.262065536
1074,0.141231638,0.172698069
1075,0,0
1076,0,0
1077,0,0
1078,0,0
1079,0,0
1080,0,0
1081,0,0
1082,0,0
1083,0,0
1084,0,0
1085,0,0
1086,0,0
1087,0,0
1088,0.009932306,0.012090231
1089,0.094147901,0.114914985
1090,0.181697729,0.222503174
1091,0.250695701,0.307890052
1092,0.288126652,0.354486808
1093,0.254109382,0.312112969
1094,0.335548453,0.413659587
1095,0.318116665,0.391801371
1096,0.277773467,0.341518961
1097,0.217446412,0.266688833
1098,0.144069614,0.17620563
1099,0,0
1100,0,0
1101,0,0
1102,0,0
1103,0,0
1104,0,0
1105,0,0
1106,0,0
1107,0,0
1108,0,0
1109,0,0
1110,0,0
1111,0,0
1112,0.010808762,0.013156688
1113,0.096132729,0.117359218
1114,0.183450267,0.224719367
1115,0.254007214,0.312094645
1116,0.27719672,0.341002834
1117,0.285416112,0.351287505
1118,0.30823958,0.379850679
1119,0.310990356,0.383240301
1120,0.271408847,0.333776595
1121,0.211434116,0.259299073
1122,0.135938489,0.166201614
1123,0,0
1124,0,0
1125,0,0
1126,0,0
1127,0,0
1128,0,0
1129,0,0
1130,0,0
1131,0,0
1132,0,0
1133,0,0
1134,0,0
1135,0,0
1136,0.009779497,0.011906674
1137,0.090115504,0.110017428
1138,0.176009614,0.215581051
1139,0.24238101,0.297744486
1140,0.293114212,0.3609447
1141,0.30615458,0.377278001
1142,0.326283297,0.40250131
1143,0.309212467,0.381073695
1144,0.270730813,0.332955954
1145,0.211759629,0.259722159
1146,0.139143042,0.170164842
1147,0,0
1148,0,0
1149,0,0
1150,0,0
1151,0,0
1152,0,0
1153,0,0
1154,0,0
1155,0,0
1156,0,0
1157,0,0
1158,0,0
1159,0,0
1160,0.010164784,0.012377178
1161,0.089979332,0.109832677
1162,0.181160691,0.221813669
1163,0.197203657,0.241595454
1164,0.286704767,0.352459471
1165,0.33253554,0.409579792
1166,0.335560749,0.413314309
1167,0.283516257,0.348379826
1168,0.276666753,0.33986969
1169,0.214750416,0.263163666
1170,0.13990281,0.170990045
1171,0,0
1172,0,0
1173,0,0
1174,0,0
1175,0,0
1176,0,0
1177,0,0
1178,0,0
1179,0,0
1180,0,0
1181,0,0
1182,0,0
1183,0,0
1184,0.009661218,0.011761076
1185,0.088180948,0.107573775
1186,0.179991042,0.220186075
1187,0.255477065,0.313331694
1188,0.310485957,0.38162849
1189,0.341715834,0.420624355
1190,0.346806499,0.427054542
1191,0.310483679,0.381780784
1192,0.168660203,0.206301383
1193,0.088901663,0.108464522
1194,0.095702406,0.11678435
1195,0,0
1196,0,0
1197,0,0
1198,0,0
1199,0,0
1200,0,0
1201,0,0
1202,0,0
1203,0,0
1204,0,0
1205,0,0
1206,0,0
1207,0,0
1208,0.010045447,0.012229747
1209,0.043388941,0.052874575
1210,0.134556044,0.164438292
1211,0.043536313,0.053056628
1212,0.125542859,0.153385207
1213,0.110627612,0.135099646
1214,0.114180088,0.13944768
1215,0.143113141,0.174949586
1216,0.070191976,0.085605917
1217,0.06748511,0.082296116
1218,0.086238683,0.105222426
1219,0,0
1220,0,0
1221,0,0
1222,0,0
1223,0,0
1224,0,0
1225,0,0
1226,0,0
1227,0,0
1228,0,0
1229,0,0
1230,0,0
1231,0,0
1232,0.009067134,0.011039134
1233,0.071267109,0.086915121
1234,0.134435401,0.164268711
1235,0.240528178,0.294955596
1236,0.291358722,0.357952317
1237,0.319851782,0.393416415
1238,0.267568694,0.328433725
1239,0.267395538,0.328202354
1240,0.266369692,0.326930981
1241,0.203184135,0.248820211
1242,0.109382326,0.1335466
1243,0,0
1244,0,0
1245,0,0
1246,0,0
1247,0,0
1248,0,0
1249,0,0
1250,0,0
1251,0,0
1252,0,0
1253,0,0
1254,0,0
1255,0,0
1256,0.009456096,0.011512707
1257,0.047147406,0.057458766
1258,0.154224264,0.188542034
1259,0.25099341,0.307857927
1260,0.30294873,0.372361479
1261,0.31917891,0.392613811
1262,0.298607776,0.36703112
1263,0.267828491,0.328807242
1264,0.219761114,0.269308499
1265,0.211789141,0.259466402
1266,0.135482257,0.165563861
1267,0,0
1268,0,0
1269,0,0
1270,0,0
1271,0,0
1272,0,0
1273,0,0
1274,0,0
1275,0,0
1276,0,0
1277,0,0
1278,0,0
1279,0,0
1280,0.008951878,0.010897983
1281,0.081846201,0.099845957
1282,0.100620163,0.122821187
1283,0.226854574,0.278036471
1284,0.253443963,0.310933987
1285,0.229450629,0.281253597
1286,0.232758965,0.28535487
1287,0.303909997,0.373563232
